currency,rate
US Dollar,3.672500
Argentine Peso,0.035058
Australian Dollar,2.600184
Bangladesh Taka,0.042733
Bahrani Dinar,9.742155
Brunei Dollar,2.715342
Brazilian Real,0.685168
Botswana Pula,0.316385
Belarus Rouble,1.409248
Canadian Dollar,2.898122
Swiss Franc,3.942143
Chilean Peso,0.004612
Chinese Yuan - Offshore,0.576567
Chinese Yuan,0.576675
Colombian Peso,0.000934
Czech Koruna,0.167725
Danish Krone,0.550171
Algerian Dinar,0.026186
Egypt Pound,0.233323
Euro,4.095573
GB Pound,4.914358
Hongkong Dollar,0.471353
Hungarian Forint,0.011461
Indonesia Rupiah,0.000255
Indian Rupee,0.048857
Iceland Krona,0.028248
Jordan Dinar,5.179831
Japanese Yen,0.031830
Kenya Shilling,0.032314
Korean Won,0.003050
Kuwaiti Dinar,12.120062
Kazakhstan Tenge,0.008462
Lebanon Pound,0.002426
Sri Lanka Rupee,0.018181
Moroccan Dirham,0.390521
Macedonia Denar,0.067200
Mexican Peso,0.177347
Malaysia Ringgit,0.874926
Nigerian Naira,0.008843
Norwegian Krone,0.410964
NewZealand Dollar,2.430027
Omani Rial,9.538713
Peru Sol,0.956654
Philippine Piso,0.071594
Pakistan Rupee,0.020790
Polish Zloty,0.900012
Qatari Riyal,1.008651
Serbian Dinar,0.034840
Russia Rouble,0.047334
Saudi Riyal,0.978837
Sudanese Pound,0.008334
Swedish Krona,0.392777
Singapore Dollar,2.715543
Thai Baht,0.110352
Tunisian Dinar,1.265201
Turkish Lira,0.269399
Trin Tob Dollar,0.540344
Taiwan Dollar,0.132009
Tanzania Shilling,0.001590
Uganda Shilling,0.001042
Vietnam Dong,0.000162
Yemen Rial,0.014682
South Africa Rand,0.239757
Zambian Kwacha,0.205345
Azerbaijan manat,2.161566
Bulgarian lev,2.093786
Croatian kuna,0.543768
Ethiopian birr,0.073718
Iraqi dinar,0.002516
Israeli new shekel,1.149200
Libyan dinar,0.800214
Mauritian rupee,0.083751
Romanian leu,0.827941
Syrian pound,0.001462
Turkmen manat,1.050787
Uzbekistani som,0.000339
